Player,Team,Games Played,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Dwayne Bacon,Orl,72,25.7,53.6,19.8,5.3,176,0.824,519,0.449,207,0.285,0.443,0.49,10.9,3.1,6.3,1.3,7.9,0.61,0.07,0.63,5.5,101.7,112.8
Cameron Oliver,Hou,4,21.9,45.5,18.4,7.9,4,0.25,20,0.75,13,0.308,0.636,0.619,10.8,5.3,12.8,1.3,9.5,0.5,1,0.75,7.7,117.4,104.6
Patty Mills,San,68,24.8,51.6,18.4,9.1,78,0.91,182,0.5,430,0.374,0.543,0.569,10.8,1.7,3.7,2.4,13.5,0.6,0.04,0.96,5.7,110.7,113.7
Reggie Jackson,Lac,67,23,48,20,10.6,82,0.817,303,0.465,282,0.433,0.554,0.576,10.7,2.9,7,3.1,19,0.63,0.1,1.1,8,116.1,106.6
Ty Jerome,Okc,33,23.9,49.7,18.8,13.5,34,0.765,119,0.479,168,0.423,0.57,0.585,10.7,2.8,6.1,3.6,23.7,0.61,0.18,1.42,8,113.2,110.4
D.J. Augustin,Hou,20,20.8,43.4,21,15.1,54,0.907,63,0.476,88,0.386,0.536,0.604,10.6,2.2,5.6,3.9,28.3,0.4,0,1.55,8.6,118.2,115.2
Grayson Allen,Mem,50,25.2,52.5,16.8,9.6,91,0.868,140,0.471,274,0.391,0.547,0.586,10.6,3.2,6.7,2.2,11.5,0.92,0.16,0.96,6.7,115.3,109.9
Justin Holiday,Ind,72,30.3,63.2,14,7.5,85,0.788,172,0.494,453,0.382,0.551,0.571,10.5,3.6,6.4,1.7,7.1,1.03,0.57,0.75,5.3,111.3,111.7
Mason Plumlee,Det,56,26.8,55.8,16.3,18.8,169,0.669,373,0.627,7,0,0.616,0.639,10.4,9.3,19.3,3.6,21,0.77,0.89,1.88,10.5,122.2,99.7
Delon Wright,Det,36,29.2,60.9,15.8,12.6,90,0.789,204,0.515,89,0.348,0.517,0.562,10.4,4.6,8.7,5,25.7,1.58,0.53,1.33,8.5,119.1,110.5
Donte DiVincenzo,Mil,66,27.5,57.3,16.7,12.7,71,0.718,257,0.475,346,0.379,0.528,0.542,10.4,5.8,11,3.1,14.2,1.09,0.23,1.39,8.3,111.1,107.3
Cedi Osman,Cle,59,25.6,53.3,20.4,11.3,95,0.8,262,0.458,324,0.306,0.458,0.488,10.4,3.4,7.4,2.9,17.7,0.9,0.15,1.36,7.3,100.2,110
Brandon Clarke,Mem,59,24,50,17.3,5.7,113,0.69,418,0.565,77,0.26,0.537,0.56,10.3,5.6,12.3,1.6,9.5,1.03,0.86,0.56,7.5,118.6,107.7
Svi Mykhailiuk,Okc,30,23,47.9,21,14.4,20,0.7,140,0.543,143,0.336,0.523,0.531,10.3,3,6.7,1.8,12.3,0.8,0.2,1.63,6.6,96.6,113.3
Monte Morris,Den,47,25.5,53,16.5,7.5,73,0.795,253,0.534,134,0.381,0.547,0.574,10.2,2,4.6,3.2,17.1,0.72,0.28,0.72,6.3,120.9,114.1
Aaron Gordon,Den,25,25.9,54,17.1,11.4,44,0.705,142,0.606,64,0.266,0.541,0.564,10.2,4.7,10.3,2.2,11.8,0.68,0.56,1.16,7.3,114.6,110.3
Gary Harris,Orl,20,24.9,52,20.2,9.9,48,0.875,123,0.366,66,0.364,0.429,0.485,10.2,1.6,3.3,2.3,14.1,0.55,0.3,1.15,5.4,99.4,113
Daniel Gafford,Was,23,17.8,37,18.9,10.2,67,0.672,138,0.681,0,0,0.681,0.696,10.1,5.6,16.6,0.5,4.4,0.65,1.78,0.83,6.8,132.5,103.3
Jeremy Lamb,Ind,36,21.3,44.3,18.4,6.6,75,0.947,148,0.459,128,0.406,0.529,0.587,10.1,3.6,9.3,1.5,9.4,0.94,0.64,0.61,7.1,118.8,106.5
Jae Crowder,Pho,60,27.5,57.2,15.7,9.5,75,0.76,112,0.455,380,0.389,0.555,0.574,10.1,4.7,9.7,2.1,10,0.82,0.43,0.92,6.7,112.9,106.4
Taurean Prince,Cle,29,23.7,49.4,19.7,11.6,49,0.837,135,0.385,118,0.415,0.496,0.532,10.1,3.7,8.8,2.4,15.4,0.69,0.52,1.24,7.6,105.6,109.7
Elfrid Payton,Nyk,63,23.6,49.1,23.2,13.3,107,0.682,524,0.46,98,0.286,0.455,0.478,10.1,3.4,7.9,3.2,21.6,0.75,0.14,1.63,8.1,98.9,104.6
Theo Maledon,Okc,65,27.3,57,19.4,17.3,135,0.748,301,0.402,313,0.335,0.454,0.489,10.1,3.2,6.2,3.5,18.8,0.85,0.17,2.17,7.1,94,110.7
Blake Griffin,Bro,26,21.5,44.9,18.9,12.3,55,0.782,108,0.574,81,0.383,0.574,0.61,10,4.7,11.9,2.4,15.5,0.69,0.5,1.15,9,120.6,102.8
Bryn Forbes,Mil,70,19.3,40.3,18.5,7.3,61,0.77,188,0.511,341,0.452,0.618,0.631,10,1.6,4.3,0.6,4.5,0.33,0.01,0.63,4.4,118,111.6
Daniel Theis,Chi,23,24.9,52,16.8,11.3,43,0.651,121,0.636,57,0.281,0.567,0.584,10,5.9,13.1,1.8,10,0.7,0.61,1.09,7.6,115.7,106.4
Delon Wright,Sac,27,25.8,53.7,17.1,12.7,36,0.833,142,0.5,83,0.398,0.536,0.563,10,3.9,8.4,3.6,18.9,1.56,0.37,1.3,8.1,114.9,115.4
